,Name,Address,Phone,Website,Opening hours,Rating
12,Pierce & Mandell PC,"11 Beacon St # 800, Boston, MA 02108, USA",+1 617-720-2444,http://www.piercemandell.com/?utm_source=google&utm_medium=gmb_url&utm_campaign=gmb_listing&utm_content=primary,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
13,"Sheff Law Offices, P.C.","485 Massachusetts Ave #300, Cambridge, MA 02139, USA",+1 617-227-7000,http://www.shefflaw.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",
14,Anderson & Kreiger LLP,"50 Milk St 21st floor, Boston, MA 02109, USA",+1 617-621-6500,http://www.andersonkreiger.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.0
15,Calabrese Law Associates,"1 BOSTON PLACE Suite 2600, Boston, MA 02108, USA",+1 617-340-6623,http://www.calalaw.com/,"['Monday: 8:00 AM – 7:00 PM', 'Tuesday: 8:00 AM – 7:00 PM', 'Wednesday: 8:00 AM – 7:00 PM', 'Thursday: 8:00 AM – 7:00 PM', 'Friday: 8:00 AM – 7:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.4
16,Altman & Altman LLP,"689 Massachusetts Ave, Cambridge, MA 02139, USA",+1 617-492-3000,https://www.altmanllp.com/,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",4.8
17,Mavrides Law,"10 High St #1002, Boston, MA 02110, USA",+1 617-723-9900,http://www.mavrideslaw.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.9
18,"Law Offices of Joshua L. Goldstein, P.C.","6 Beacon St #220, Boston, MA 02108, USA",+1 617-722-0005,https://jgoldlaw.com/?utm_source=GMB-MA&utm_medium=directory,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.8
19,Sankey Law Offices,"201 Washington St, Boston, MA 02108, USA",+1 857-239-8840,http://www.sankeylaw.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",
20,Law Offices of Howard Friedman,"92 State St 9th fl, Boston, MA 02109, USA",+1 617-742-4100,http://www.civil-rights-law.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.0
21,"Foley Law Offices, PC","8 Faneuil Hall Marketplace, Boston, MA 02109, USA",+1 617-973-6448,http://www.foleylawoffices.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
22,"Mcgregor & Legere, LLP","500, 2520, 15 Court Square, Boston, MA 02108, USA",+1 617-338-6464,http://www.mcgregorlegere.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",
23,"JCO Law Firm, PC.","485 Massachusetts Ave, Cambridge, MA 02139, USA",+1 877-385-4179,,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",
24,Mann Law Firm P.C.,"200 Highland Ave #300, Needham, MA 02494, USA",+1 617-690-7379,https://www.simonmannlaw.com/,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",5.0
25,Ropes & Gray,"800 Boylston St, Boston, MA 02199, USA",+1 617-951-7000,https://www.ropesgray.com/,None,5.0
26,Ropes & Gray,"800 Boylston St, Boston, MA 02199, USA",+1 617-951-7000,https://www.ropesgray.com/,None,5.0
27,"Law Offices of Shaun A. Hannafin, LLC","75 Arlington St #500, Boston, MA 02116, USA",+1 617-848-4572,http://hannafinlaw.com/,"['Monday: 9:30 AM – 6:00 PM', 'Tuesday: 9:30 AM – 6:00 PM', 'Wednesday: 9:30 AM – 6:00 PM', 'Thursday: 9:30 AM – 6:00 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.6
28,"Law Offices of Shaun A. Hannafin, LLC","75 Arlington St #500, Boston, MA 02116, USA",+1 617-848-4572,http://hannafinlaw.com/,"['Monday: 9:30 AM – 6:00 PM', 'Tuesday: 9:30 AM – 6:00 PM', 'Wednesday: 9:30 AM – 6:00 PM', 'Thursday: 9:30 AM – 6:00 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.6
29,"Law Offices of Shaun A. Hannafin, LLC","75 Arlington St #500, Boston, MA 02116, USA",+1 617-848-4572,http://hannafinlaw.com/,"['Monday: 9:30 AM – 6:00 PM', 'Tuesday: 9:30 AM – 6:00 PM', 'Wednesday: 9:30 AM – 6:00 PM', 'Thursday: 9:30 AM – 6:00 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.6
30,"Law Offices of Shaun A. Hannafin, LLC","75 Arlington St #500, Boston, MA 02116, USA",+1 617-848-4572,http://hannafinlaw.com/,"['Monday: 9:30 AM – 6:00 PM', 'Tuesday: 9:30 AM – 6:00 PM', 'Wednesday: 9:30 AM – 6:00 PM', 'Thursday: 9:30 AM – 6:00 PM', 'Friday: 9:30 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.6
31,"Rudolph Friedmann, LLP","92 State St, Boston, MA 02109, USA",+1 617-723-7700,http://www.rflawyers.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.3
32,Law Offices of Jonas Jacobson,"872 Massachusetts Ave #1, Cambridge, MA 02139, USA",+1 617-230-2779,http://jonasjacobson.com/,"['Monday: 9:00 AM – 6:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 6:00 PM', 'Thursday: 9:00 AM – 6:00 PM', 'Friday: 9:00 AM – 6:00 PM', 'Saturday: 11:00 AM – 4:30 PM', 'Sunday: Closed']",5.0
33,Law Offices of Jonas Jacobson,"872 Massachusetts Ave #1, Cambridge, MA 02139, USA",+1 617-230-2779,http://jonasjacobson.com/,"['Monday: 9:00 AM – 6:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 6:00 PM', 'Thursday: 9:00 AM – 6:00 PM', 'Friday: 9:00 AM – 6:00 PM', 'Saturday: 11:00 AM – 4:30 PM', 'Sunday: Closed']",5.0
34,"Donovan O'Connor & Dodig, LLP","1330 Mass MoCA Way, North Adams, MA 01247, USA",+1 413-663-3200,https://www.docatty.com/,"['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: 8:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.7
35,Parker Scheer LLP Injury Lawyers,"1 Constitution Rd, Boston, MA 02129, USA",+1 617-886-0500,https://www.parkerscheer.com/,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",5.0
36,Jason Stone Injury Lawyers,"225 Friend St #102, Boston, MA 02114, USA",+1 617-523-4357,https://www.stoneinjurylawyers.com/,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",4.7
37,"Law Offices of Jacob D. Geller, LLC","90 Canal St f4, Boston, MA 02114, USA",+1 781-462-1346,https://www.jdgellerlaw.com/,"['Monday: 9:00 AM – 6:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 6:00 PM', 'Thursday: 9:00 AM – 6:00 PM', 'Friday: 9:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
38,Lawyers for Affordable Justice,"650 Beacon St, Boston, MA 02215, USA",+1 617-398-0764,http://www.lawyers4aj.org/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
39,Patricia M. Flannery - Thornton Law Firm LLP,"1 Lincoln St, Boston, MA 02111, USA",+1 617-720-1333,http://tenlaw.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",
40,"Brody, Hardoon, Perkins & Kesten, LLP","699 Boylston St, Boston, MA 02116, USA",+1 617-880-7100,http://www.bhpklaw.com/,None,
41,"The Law Offices of Stephen Neyman, P.C.","50 Congress St #525, Boston, MA 02109, USA",+1 617-263-6800,https://www.neymanlaw.com/,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",5.0
42,"Law Offices of Rachel L. Rado, LLC","100 State St 3rd floor, Boston, MA 02109, USA",+1 617-871-6030,http://www.thebostonimmigrationlawyer.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.9
43,"Attorney Ray Genco, Genco Law Firm LLC","177 Huntington Ave #1700, Boston, MA 02115, USA",,,"['Monday: 12:00 AM – 11:59 PM', 'Tuesday: 12:00 AM – 11:59 PM', 'Wednesday: 12:00 AM – 11:59 PM', 'Thursday: 12:00 AM – 11:59 PM', 'Friday: 12:00 AM – 11:59 PM', 'Saturday: 12:00 AM – 11:59 PM', 'Sunday: 12:00 AM – 11:59 PM']",5.0
44,"Attorney Ray Genco, Genco Law Firm LLC","177 Huntington Ave #1700, Boston, MA 02115, USA",,,"['Monday: 12:00 AM – 11:59 PM', 'Tuesday: 12:00 AM – 11:59 PM', 'Wednesday: 12:00 AM – 11:59 PM', 'Thursday: 12:00 AM – 11:59 PM', 'Friday: 12:00 AM – 11:59 PM', 'Saturday: 12:00 AM – 11:59 PM', 'Sunday: 12:00 AM – 11:59 PM']",5.0
45,"Attorney Ray Genco, Genco Law Firm LLC","177 Huntington Ave #1700, Boston, MA 02115, USA",,,"['Monday: 12:00 AM – 11:59 PM', 'Tuesday: 12:00 AM – 11:59 PM', 'Wednesday: 12:00 AM – 11:59 PM', 'Thursday: 12:00 AM – 11:59 PM', 'Friday: 12:00 AM – 11:59 PM', 'Saturday: 12:00 AM – 11:59 PM', 'Sunday: 12:00 AM – 11:59 PM']",5.0
46,Holland & Knight LLP,"10 St James Ave #1200, Boston, MA 02116, USA",+1 617-523-2700,https://www.hklaw.com/Offices/Boston/,"['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: 8:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
47,"The Law Offices of Marian P. Abraham, P.C.","1666 Massachusetts Ave, Lexington, MA 02420, USA",+1 781-861-9400,http://www.mabrahamlaw.com/,None,
48,"The Law Offices of Marian P. Abraham, P.C.","1666 Massachusetts Ave, Lexington, MA 02420, USA",+1 781-861-9400,http://www.mabrahamlaw.com/,None,
49,"The Law Offices of Marian P. Abraham, P.C.","1666 Massachusetts Ave, Lexington, MA 02420, USA",+1 781-861-9400,http://www.mabrahamlaw.com/,None,
50,John T. Barrett - Thornton Law Firm LLP,"1 Lincoln St, Boston, MA 02111, USA",+1 617-720-1333,http://tenlaw.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",
51,Law Offices of Kate Frame,"50 Congress St #600, Boston, MA 02108, USA",+1 866-974-0927,http://www.kateframelaw.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.0
52,Law Offices of Kate Frame,"50 Congress St #600, Boston, MA 02108, USA",+1 866-974-0927,http://www.kateframelaw.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.0
53,Cambridge Technology Law LLC,"686 Massachusetts Ave #201, Cambridge, MA 02139, USA",+1 646-472-9737,http://www.cambridgetechlaw.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",
54,Cambridge Technology Law LLC,"686 Massachusetts Ave #201, Cambridge, MA 02139, USA",+1 646-472-9737,http://www.cambridgetechlaw.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",
55,"Gordon Rees Scully Mansukhani, LLP","21 Custom House St 5th floor, Boston, MA 02110, USA",+1 857-263-2000,http://www.grsm.com/,"['Monday: 8:00 AM – 5:00 PM', 'Tuesday: 8:00 AM – 5:00 PM', 'Wednesday: 8:00 AM – 5:00 PM', 'Thursday: 8:00 AM – 5:00 PM', 'Friday: 8:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",3.3
56,Michael A. Lesser - Thornton Law Firm LLP,"1 Lincoln St, Boston, MA 02111, USA",+1 617-720-1333,http://tenlaw.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",
57,Michael A. Lesser - Thornton Law Firm LLP,"1 Lincoln St, Boston, MA 02111, USA",+1 617-720-1333,http://tenlaw.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",
58,Law Offices of Mark E. Salomone,"545 Main St, Worcester, MA 01608, USA",+1 508-753-1036,https://www.marksalomone.com/worcester,"['Monday: 8:30 AM – 5:00 PM', 'Tuesday: 8:30 AM – 5:00 PM', 'Wednesday: 8:30 AM – 5:00 PM', 'Thursday: 8:30 AM – 5:00 PM', 'Friday: 8:30 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.8
59,The Law Offices of S.J. Spero and Associates,"175 Federal St, Boston, MA 02110, USA",+1 617-491-1200,http://sjsperoandassociates.com/,None,2.3
60,Fish & Richardson PC,"1 Marina Park Drive, Boston, MA 02210, USA",+1 617-542-5070,http://www.fr.com/boston,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
61,Baghdady Law Offices,"382 Massachusetts Ave, Arlington, MA 02474, USA",+1 781-646-7050,http://baghdadylaw.com/,None,
62,Health Law Advocates Inc,"1 Federal St, Boston, MA 02110, USA",+1 617-338-5241,http://www.healthlawadvocates.org/,None,5.0
63,Law Offices of Steven J. Topazio,"44 School St #1000c, Boston, MA 02108, USA",+1 617-422-5803,http://www.topaziolaw.com/,"['Monday: 9:00 AM – 6:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 6:00 PM', 'Thursday: 9:00 AM – 6:00 PM', 'Friday: 9:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
64,Law Offices of Steven J. Topazio,"44 School St #1000c, Boston, MA 02108, USA",+1 617-422-5803,http://www.topaziolaw.com/,"['Monday: 9:00 AM – 6:00 PM', 'Tuesday: 9:00 AM – 6:00 PM', 'Wednesday: 9:00 AM – 6:00 PM', 'Thursday: 9:00 AM – 6:00 PM', 'Friday: 9:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",5.0
65,Andrew S. Wainwright - Thornton Law Firm,"1 Lincoln St, Boston, MA 02111, USA",+1 617-720-1333,http://tenlaw.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",
66,Kelly & Associates Injury Lawyers,"83 Atlantic Ave #202, Boston, MA 02110, USA",+1 617-807-0855,https://www.1800lawguys.com/,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",4.9
67,Marcotte Law Firm,"45 Merrimack St # 410, Lowell, MA 01852, USA",+1 978-905-8699,https://www.marcottelawfirm.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",4.5
68,Marcotte Law Firm,"45 Merrimack St # 410, Lowell, MA 01852, USA",+1 978-905-8699,https://www.marcottelawfirm.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",4.5
69,White & Case LLP,"75 State St, Boston, MA 02109, USA",+1 617-979-9300,http://www.whitecase.com/locations/americas/boston,None,5.0
70,Parks Law Offices,"100 State St #900, Boston, MA 02109, USA",+1 617-523-0712,http://wparkslaw.com/,"['Monday: 9:00 AM – 5:00 PM', 'Tuesday: 9:00 AM – 5:00 PM', 'Wednesday: 9:00 AM – 5:00 PM', 'Thursday: 9:00 AM – 5:00 PM', 'Friday: 9:00 AM – 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']",
71,Garrett J. Bradley - Thornton Law Firm LLP,"1 Lincoln St, Boston, MA 02111, USA",+1 617-720-1333,http://tenlaw.com/,"['Monday: 8:30 AM – 5:30 PM', 'Tuesday: 8:30 AM – 5:30 PM', 'Wednesday: 8:30 AM – 5:30 PM', 'Thursday: 8:30 AM – 5:30 PM', 'Friday: 8:30 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",
72,"Miller Law Group, P.C.","352 Turnpike Rd #222, Southborough, MA 01772, USA",+1 508-300-9534,https://www.apmillerlawgroup.com/southborough/?SPPC=Offline&sppccampaignid=294792&utm_source=GMBlisting&utm_medium=organic,"['Monday: 8:00 AM – 5:30 PM', 'Tuesday: 8:00 AM – 5:30 PM', 'Wednesday: 8:00 AM – 5:30 PM', 'Thursday: 8:00 AM – 5:30 PM', 'Friday: 8:00 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",4.6
73,"Miller Law Group, P.C.","352 Turnpike Rd #222, Southborough, MA 01772, USA",+1 508-300-9534,https://www.apmillerlawgroup.com/southborough/?SPPC=Offline&sppccampaignid=294792&utm_source=GMBlisting&utm_medium=organic,"['Monday: 8:00 AM – 5:30 PM', 'Tuesday: 8:00 AM – 5:30 PM', 'Wednesday: 8:00 AM – 5:30 PM', 'Thursday: 8:00 AM – 5:30 PM', 'Friday: 8:00 AM – 5:30 PM', 'Saturday: Closed', 'Sunday: Closed']",4.6
