,Name,Google,Facebook,LinkedIn
136,Powell Pediatric Dentistry,Yes,Yes,None
137,"Lindsey Feaster Scott, D.D.S.",Yes,Yes,None
138,Medical Dental,Yes,Yes,None
139,Northern California Dental - Lee Daniel Dr,None,None,None
140,"Southern California General & Cosmetic Dentistry: Ryan Fait, DDS",None,None,None
141,"Snoring, Sleep Apnea & Oral Appliance Dentist - Dr.Kary Karahadian",Yes,None,None
142,Perfect Smiles California,None,None,None
143,Western Dental Center: He Yi DDS,Yes,None,None
144,Smileland Dental,Yes,None,None
145,Dr. Barnes Dental Associates,None,None,None
146,Ready 2 Smile Dental Group,None,None,None
147,Aspen Dental,Yes,None,None
148,Larsen Gary a DDS,None,None,None
149,Pacific Dental Clinic,Yes,None,None
150,Aspen Dental,Yes,None,None
151,"Jack Ringer DDS, General & Cosmetic Dentistry",Yes,Yes,None
152,Smileland Dental Tulare Children's Dentistry,Yes,Yes,None
153,"TLC Dental Care: Tamara L. Clauson, DDS",Yes,None,None
154,Adventist Health Medical Office - Sanger,Yes,None,None
155,Ebrahimian Integrative Dentistry,None,None,None
156,"Air Dental Family, Emergency, Burbank Implants",Yes,Yes,None
157,Soares Mark DDS,None,None,None
158,California Dental Specialty: Teramura Matt DDS,None,None,None
159,Medicare Advisors Fullerton,Yes,Yes,None
160,Primary Dental Care,Yes,None,None
161,RB Family & Cosmetic Dentistry,Yes,None,None
162,"Treva Diane Lee, DDS, MAGD FICOI",Yes,Yes,None
163,La Jolla Dental,Yes,Yes,None
164,Center for Implant Dentistry,Yes,None,None
165,"Orange Hill Dental Group, Joseph Sabet DDS",Yes,Yes,None
166,"Park West Dental Group- Quan Ma DMD,Thomas Bierman DDS, Stephen Tornay DDS",Yes,None,None
167,"Shawn P. Rusk, DDS",None,None,None
168,Miller Savant Dental | Sunnyvale Dentist,None,Yes,None
169,Wilshire Smile Studio,Yes,None,None
170,First Family Dental,None,Yes,None
171,"Comprehensive, Cosmetic & Implant Dentistry: Adriana Barrera, DDS",None,None,None
172,Vineyard Dental Group,None,None,None
173,Center Point Dental Group,Yes,None,None
174,"Westlake Village Dental Health: Mike Choi, DDS",None,None,None
175,ADVANCED FAMILY DENTISTRY,Yes,None,None
176,Kawano Family Dental,None,Yes,None
177,Remolina Dental Inc,Yes,None,None
178,"Oral Care Dentistry: Parnaz Aurasteh, DDS",None,None,None
179,Aaronian Rick S DDS,Yes,None,None
180,Dentists of South Pasadena,Yes,None,None
181,Insight Dentistry,None,None,None
182,Unique Orthodontics,Yes,None,None
183,"El Dorado Hills Cosmetic, Implant & Family Dentistry",Yes,None,None
184,Gill Family Dentistry - Affordable Dental Implants Treatment,Yes,None,None
185,Gale Ranch Family Dental,None,None,None
186,Fresno Dental Professionals,None,None,None
187,AZ Dental - Monterey,None,None,None
188,"Dr. Hamid R. Nasr, DDS",Yes,Yes,None
189,Mann H S DDS,Yes,None,None
190,"All Kids Dentistry, Laura Greenwald DDS",Yes,None,None
191,"PhD Dental Los Angeles Kids, Implants & Orthodontics",Yes,None,None
192,Signature Smiles Clovis,None,None,None
193,"Jeffrey C. Elliott, DDS",Yes,None,None
194,Creekside Dentistry,Yes,None,None
195,Capitol Square Dental Care,None,None,None
196,Victorian Dental Group,Yes,None,None
197,California Dental Society of Anesthesiology,Yes,None,None
198,Ala Din DDS,Yes,Yes,None
199,Hurst Thomas L DDS,None,None,None
200,New Dental Images,None,None,None
201,"Pankaj R. Narkhede, DDS, MDS, Honored Fellow AAID",Yes,None,None
202,"Dr. Hibret Hailu Benjamin, D.D.S. - Marina Tooth Fairy Dental",Yes,None,None
203,"Steven C. Kindy, DDS",None,None,None
204,Santa Cruz Dental Group: Robinson Richard N DDS,Yes,None,None
205,Dinuba Orthodontics,None,None,None
206,Quadalupe Dental Center,Yes,Yes,None
207,"PhD Dental Inglewood - Adults, Kids, Implants & Orthodontics",None,None,None
208,"Allure Dental Center: Trinh Ngoc Lee, DDS",Yes,None,None
209,Graton Dental Group,Yes,Yes,None
210,Bellflower Dental Group: Pike Robert DDS,Yes,None,None
211,SoCal Smiles,Yes,None,None
212,"Tarzana Smiles - Garo Ourfalian, DDS",None,None,None
213,Clovis Gentle Dental Care,None,None,None
214,Reedley Family Dental,Yes,None,None
215,Smile Visalia,None,None,None
216,Burrell Earl R DDS,None,None,None
217,First Sierra Dental | Steven Wisener DDS,Yes,Yes,None
218,"Dr. Herman Leung, DDS",Yes,None,None
219,Marketplace Smiles Dentistry and Orthodontics,Yes,None,None
220,"meet dentist, dr. abhishek joshi your mobile dentist in corona, ca",None,Yes,None
221,Prism Dental Group - Savitha Siddappa DMD AEGD MS,Yes,None,None
222,"Golden Dental, Roland Markarian DMD",Yes,None,None
223,California Oral Surgery & Dental Implant Center,Yes,Yes,None
224,McBride Dental,Yes,Yes,None
225,Western Dental & Orthodontics,Yes,None,None
226,"Dr. James Scott, DDS",Yes,None,None
227,Manhattan Beach Dental Solutions,Yes,None,None
228,"Shyam Krishnan, DDS",None,None,None
229,Capitol Square Dental Care: Watanabe Gerald S DDS,Yes,None,None
230,"Thomas Barrington, DDS",Yes,Yes,None
231,Bellflower Dental Group,Yes,Yes,None
232,"Dove Canyon Dental- Scott E. Bianchi, D.D.S.",Yes,None,None
233,Forever Smiles Pediatric Dentistry,None,None,None
234,Dr Dean Bu,None,None,None
235,J K Dental Clinic,None,None,None
236,"Steven, E Voelker DDS",Yes,None,None
237,"J. Foster Weems, DDS",Yes,None,None
238,Luis Castillo Professional Dental Corp.,Yes,Yes,None
239,Family HealthCare Network - Visalia School (Medical & Dental),None,None,None
240,"Kingsburg Smile Center: B. Fareid, DDS",None,None,None
241,Family HealthCare Network - Tulare (Medical & Dental),Yes,Yes,None
242,CedarNorth Dental,Yes,None,None
243,Bajwa Mohan DDS,Yes,Yes,None
244,Martin S Nahigian DDS,Yes,None,None
245,Golden Valley Smiles,None,None,None
246,Tarzana Smile Center,None,None,None
247,St Therese Family Dental Care: Conde-Nadores Nimfa DDS,None,Yes,None
248,Aspen Dental,Yes,Yes,None
249,Sacramento Family & Implant Dentistry,Yes,None,None
250,Coast Dental,Yes,Yes,None
251,Delta Dental of California,None,None,None
252,Journal of the California Dental Association,Yes,None,None
253,Delta Dental of California,None,None,None
254,Northern California Dental Society,Yes,None,None
255,TDIC - The Dentists Insurance Company,Yes,Yes,None
256,Delta Dental Plan of Ca,None,None,None
257,Continuing Dental Education,Yes,None,None
258,University of Southern California School of Dentistry,Yes,None,None
259,Dentist Carson CA,Yes,Yes,None
260,"Randall W Halliday, DDS",Yes,None,None
261,David Garate DDS,Yes,Yes,None
262,UCLA School of Dentistry,Yes,None,None
263,CDA Presents,Yes,None,None
264,"Daniel S. Miller, DDS, Inc.",None,None,None
265,California Physicians Insurance Corporation,Yes,Yes,None
266,UCSF School of Dentistry,None,None,None
267,Dental Examiners Board,None,None,None
268,"Randall W. Halliday, DDS",Yes,None,None
269,Orange County Dental Society,Yes,None,None
270,"Dr. Hanneke R. Finones, DDS",None,None,None
271,"Dr. Phil J. RA, DDS",Yes,None,None
