,Name,Link,Phone
48,Van Nuys Courthouse East,http://www.lacourt.org/courthouse/info/nw,(818) 901-4600
49,Van Nuys Courthouse West,http://www.lacourt.org/courthouse/info/lav,(818) 989-6900
50,West Covina Courthouse,http://www.lacourt.org/courthouse/info/cit,(626) 430-2600
51,Whittier Courthouse,http://www.lacourt.org/courthouse/info/wh,
52,Alameda - George E. McDonald Hall of Justice,http://www.alameda.courts.ca.gov/Pages.aspx/Alameda-George-E-McDonald-Hall-of-Justice,(510) 891-6005
53,Berkeley Courthouse,http://www.alameda.courts.ca.gov/Pages.aspx/Berkeley-Courthouse,(510) 647-4439
54,Dublin - East County Hall of Justice,http://www.alameda.courts.ca.gov/Pages.aspx/East-County-Hall-of-Justice,(925) 227-6700
55,Fremont Hall of Justice,http://www.alameda.courts.ca.gov/Pages.aspx/Fremont-Hall-of-Justice,(510) 818-7500
56,Hayward Hall of Justice,http://www.alameda.courts.ca.gov/Pages.aspx/Hayward-Hall-of-Justice,(510) 690-2700
57,Oakland - René C. Davidson Courthouse,http://www.alameda.courts.ca.gov/Pages.aspx/Oakland-Ren-C-Davidson-Courthouse,(510) 891-6000
58,Oakland - Wiley W. Manuel Courthouse,http://www.alameda.courts.ca.gov/Pages.aspx/Oakland-Wiley-W-Manuel-Courthouse,(510) 627-4700
59,Oakland - Administration Building,http://www.alameda.courts.ca.gov/Pages.aspx/Oakland-Administration-Building,
60,San Leandro - John George Psychiatric Pavilion,http://www.alameda.courts.ca.gov/Pages.aspx/San-Leandro-John-George-Psychiatric-Pavilion,(510) 891-6332
61,San Leandro - Juvenile Justice Center,http://www.alameda.courts.ca.gov/Pages.aspx/San-Leandro-Juvenile-Justice-Center,(510) 618-1106
62,Airport Courthouse,http://www.lacourt.org/courthouse/info/lax,(310) 725-3000
63,Alfred J. McCourtney Juvenile Justice Center,http://www.lacourt.org/courthouse/info/lan,(661) 483-5924
64,Alhambra Courthouse,http://www.lacourt.org/courthouse/info/alh,(626) 293-2100
65,Bellflower Courthouse,http://www.lacourt.org/courthouse/info/lc,(562) 345-3300
66,Beverly Hills Courthouse,http://www.lacourt.org/courthouse/info/bh,(310) 281-2400
67,Burbank Courthouse,http://www.lacourt.org/courthouse/info/bur,(818) 260-8400
68,Catalina Courthouse,http://www.lacourt.org/courthouse/info/cat,(562) 256-3100
69,Central Arraignment Courthouse,http://www.lacourt.org/courthouse/info/cac,(213) 617-5699
70,Central Civil West Courthouse,http://www.lacourt.org/courthouse/info/ccw,(213) 351-7598
71,Chatsworth Courthouse,http://www.lacourt.org/courthouse/info/cha,(818) 407-2200
72,Clara Shortridge Foltz Criminal Justice Center,http://www.lacourt.org/courthouse/info/ccb,(213) 628-7900
73,Compton Courthouse,http://www.lacourt.org/courthouse/info/com,(310) 761-4300
74,Downey Courthouse,http://www.lacourt.org/courthouse/info/dow,(562) 658-0500
75,East Los Angeles Courthouse,http://www.lacourt.org/courthouse/info/ela,(323) 881-5800
76,Eastlake Juvenile Court,http://www.lacourt.org/courthouse/info/elj,(323) 227-4399
77,Edmund D. Edelman Children's Court,http://www.lacourt.org/courthouse/info/ccj,(323) 307-8000
78,El Monte Courthouse,http://www.lacourt.org/courthouse/info/elm,(626) 401-2200
79,Glendale Courthouse,http://www.lacourt.org/courthouse/info/gln,(818) 265-6400
80,Governor George Deukmejian Courthouse,http://www.lacourt.org/courthouse/info/lb,(562) 256-3100
81,Inglewood Courthouse,http://www.lacourt.org/courthouse/info/ing,(310) 419-1300
82,Inglewood Juvenile Courthouse,http://www.lacourt.org/courthouse/info/igj,(310) 412-8301
83,Los Padrinos Juvenile Courthouse,http://www.lacourt.org/courthouse/info/lpj,(562) 658-0700
84,Metropolitan Courthouse,http://www.lacourt.org/courthouse/info/met,(213) 745-3202
85,Michael Antonovich Antelope Valley Courthouse,http://www.lacourt.org/courthouse/info/atp,(661) 483-5500
86,Norwalk Courthouse,http://www.lacourt.org/courthouse/info/se,(562) 345-3700
87,Pasadena Courthouse,http://www.lacourt.org/courthouse/info/pas,(626) 396-3300
88,Pomona Courthouse South,http://www.lacourt.org/courthouse/info/ea,(909) 802-1100
89,San Fernando Courthouse,http://www.lacourt.org/courthouse/info/las,(818) 256-1800
90,Santa Clarita Courthouse,http://www.lacourt.org/courthouse/info/new,(661) 253-5600
91,Santa Monica Courthouse,http://www.lacourt.org/courthouse/info/sm,(310) 255-1840
92,Spring Street Courthouse,http://www.lacourt.org/courthouse/info/ss,(213) 310-7000
93,Stanley Mosk Courthouse,http://www.lacourt.org/courthouse/info/la,(213) 830-0803
94,Sylmar Juvenile Courthouse,http://www.lacourt.org/courthouse/info/slj,(818) 256-1180
95,Torrance Courthouse,http://www.lacourt.org/courthouse/info/sba,(310) 787-3700
96,Van Nuys Courthouse East,http://www.lacourt.org/courthouse/info/nw,(818) 901-4600
97,Van Nuys Courthouse West,http://www.lacourt.org/courthouse/info/lav,(818) 989-6900
98,West Covina Courthouse,http://www.lacourt.org/courthouse/info/cit,(626) 430-2600
99,Whittier Courthouse,http://www.lacourt.org/courthouse/info/wh,
100,Central Justice Center,https://www.occourts.org/locations/cjc.html,(657) 622-6878
101,Community Court,https://www.occourts.org/locations/community-court.html,(657) 622-5801
102,Civil Complex Center,https://www.occourts.org/locations/cxc.html,(657) 622-6878
103,Department CJ1 Orange County Men's Jail,https://www.occourts.org/locations/oc-jail-cj1.html,(657) 622-7102
104,Harbor Justice Center,https://www.occourts.org/locations/hjc-nb.html,(657) 622-5400
105,Lamoreaux Justice Center,https://www.occourts.org/locations/ljc.html,(657) 622-6878
106,North Justice Center,https://www.occourts.org/locations/njc.html,(657) 622-5600
107,West Justice Center,https://www.occourts.org/locations/wjc.html,(657) 622-5900
108,Superior Court Service Center,https://www.occourts.org/locations/scsc.html,(657) 622-6878
109,Barclay Justice Center,https://www.modoc.courts.ca.gov/generalinfo/contact-location.htm,(530) 233-6516
110,Amador Superior Court,http://www.amadorcourt.org/default.aspx,(209) 257-2600
111,Central Justice Center,https://www.occourts.org/locations/cjc.html,(657) 622-6878
112,Community Court,https://www.occourts.org/locations/community-court.html,(657) 622-5801
113,Civil Complex Center,https://www.occourts.org/locations/cxc.html,(657) 622-6878
114,Department CJ1 Orange County Men's Jail,https://www.occourts.org/locations/oc-jail-cj1.html,(657) 622-7102
115,Harbor Justice Center,https://www.occourts.org/locations/hjc-nb.html,(657) 622-5400
116,Lamoreaux Justice Center,https://www.occourts.org/locations/ljc.html,(657) 622-6878
117,North Justice Center,https://www.occourts.org/locations/njc.html,(657) 622-5600
118,West Justice Center,https://www.occourts.org/locations/wjc.html,(657) 622-5900
119,Superior Court Service Center,https://www.occourts.org/locations/scsc.html,(657) 622-6878
120,Main Courthouse,http://www.shasta.courts.ca.gov/General-Info/Locations.shtml,(530) 245-6789
121,Justice Center and Dept. 12 (modular building),http://www.shasta.courts.ca.gov/General-Info/Locations.shtml,(530) 245-6789
122,Calaveras Superior Court,http://www.calaveras.courts.ca.gov/info/contact,(209) 754-9800
123,Wakefield Taylor Courthouse,http://www.cc-courts.org/locations/taylor.aspx,(925) 608-1000
124,Spinetta Family Law Center,http://www.cc-courts.org/locations/spinetta.aspx,(925) 608-1000
125,A. F. Bray Courthouse,http://www.cc-courts.org/locations/bray.aspx,(925) 608-1000
126,"Richmond Superior Court, George D. Carroll Courthouse
",http://www.cc-courts.org/locations/rich.aspx,(925) 608-1000
127,"Pittsburg Superior Court, Richard E. Arnason Justice Center",http://www.cc-courts.org/locations/pitt.aspx,(925) 608-1000
128,Walnut Creek Superior Court ,http://www.cc-courts.org/locations/wc.aspx,(925) 608-1000
129,Court Records,http://www.cc-courts.org/locations/records.aspx,(925) 608-1000
130,Appeals,https://sb-court.org/locations/appeals-and-appellate-division,(909) 384-1888
131,Barstow District,https://sb-court.org/locations/barstow-district,
132,Big Bear District,https://sb-court.org/locations/big-bear-district,(760) 718-3700
133,Fontana District,https://sb-court.org/locations/fontana-district,(909) 350-9322
134,Joshua Tree District,https://sb-court.org/locations/joshua-tree-district,((760) 974) 3048 [criminal/traffic]; (760) 974-3047 [family law]
135,Mental Health Court,https://sb-court.org/locations/mental-health-court,(909) 498-2296
136,Needles District,https://sb-court.org/locations/needles-district,(760) 718-3700
137,Rancho Cucamonga District,https://sb-court.org/locations/rancho-cucamonga-district,(909) 350-9764
138,San Bernardino Justice Center,https://www.sb-court.org/locations/san-bernardino,
139,Victorville District,https://sb-court.org/locations/victorville-district,(760) 245-6215
140,San Bernardino Juvenile Delinquency,https://sb-court.org/locations/juvenile-courts/san-bernardino-juvenile-delinquency,(909) 269-8840
141,San Bernardino Juvenile Dependency,https://sb-court.org/locations/juvenile-courts/san-bernardino-juvenile-dependency,(909) 269-8900
142,San Bernardino Child Support Division,https://sb-court.org/locations/san-bernardino-justice-center/child-support-division-san-bernardino-district,(909) 269-8789
143,San Bernardino Family Law,https://sb-court.org/locations/san-bernardino-justice-center/family-law-division-san-bernardino-district,(909) 521-3136
144,Airport Courthouse,http://www.lacourt.org/courthouse/info/lax,(310) 725-3000
145,Alfred J. McCourtney Juvenile Justice Center,http://www.lacourt.org/courthouse/info/lan,(661) 483-5924
146,Alhambra Courthouse,http://www.lacourt.org/courthouse/info/alh,(626) 293-2100
147,Bellflower Courthouse,http://www.lacourt.org/courthouse/info/lc,(562) 345-3300
148,Beverly Hills Courthouse,http://www.lacourt.org/courthouse/info/bh,(310) 281-2400
149,Burbank Courthouse,http://www.lacourt.org/courthouse/info/bur,(818) 260-8400
150,Catalina Courthouse,http://www.lacourt.org/courthouse/info/cat,(562) 256-3100
151,Central Arraignment Courthouse,http://www.lacourt.org/courthouse/info/cac,(213) 617-5699
152,Central Civil West Courthouse,http://www.lacourt.org/courthouse/info/ccw,(213) 351-7598
153,Chatsworth Courthouse,http://www.lacourt.org/courthouse/info/cha,(818) 407-2200
154,Clara Shortridge Foltz Criminal Justice Center,http://www.lacourt.org/courthouse/info/ccb,(213) 628-7900
155,Compton Courthouse,http://www.lacourt.org/courthouse/info/com,(310) 761-4300
156,Downey Courthouse,http://www.lacourt.org/courthouse/info/dow,(562) 658-0500
157,East Los Angeles Courthouse,http://www.lacourt.org/courthouse/info/ela,(323) 881-5800
158,Eastlake Juvenile Court,http://www.lacourt.org/courthouse/info/elj,(323) 227-4399
159,Edmund D. Edelman Children's Court,http://www.lacourt.org/courthouse/info/ccj,(323) 307-8000
160,El Monte Courthouse,http://www.lacourt.org/courthouse/info/elm,(626) 401-2200
161,Glendale Courthouse,http://www.lacourt.org/courthouse/info/gln,(818) 265-6400
162,Governor George Deukmejian Courthouse,http://www.lacourt.org/courthouse/info/lb,(562) 256-3100
163,Inglewood Courthouse,http://www.lacourt.org/courthouse/info/ing,(310) 419-1300
164,Inglewood Juvenile Courthouse,http://www.lacourt.org/courthouse/info/igj,(310) 412-8301
165,Los Padrinos Juvenile Courthouse,http://www.lacourt.org/courthouse/info/lpj,(562) 658-0700
166,Metropolitan Courthouse,http://www.lacourt.org/courthouse/info/met,(213) 745-3202
167,Michael Antonovich Antelope Valley Courthouse,http://www.lacourt.org/courthouse/info/atp,(661) 483-5500
168,Norwalk Courthouse,http://www.lacourt.org/courthouse/info/se,(562) 345-3700
169,Pasadena Courthouse,http://www.lacourt.org/courthouse/info/pas,(626) 396-3300
170,Pomona Courthouse South,http://www.lacourt.org/courthouse/info/ea,(909) 802-1100
171,San Fernando Courthouse,http://www.lacourt.org/courthouse/info/las,(818) 256-1800
172,Santa Clarita Courthouse,http://www.lacourt.org/courthouse/info/new,(661) 253-5600
173,Santa Monica Courthouse,http://www.lacourt.org/courthouse/info/sm,(310) 255-1840
174,Spring Street Courthouse,http://www.lacourt.org/courthouse/info/ss,(213) 310-7000
175,Stanley Mosk Courthouse,http://www.lacourt.org/courthouse/info/la,(213) 830-0803
176,Sylmar Juvenile Courthouse,http://www.lacourt.org/courthouse/info/slj,(818) 256-1180
177,Torrance Courthouse,http://www.lacourt.org/courthouse/info/sba,(310) 787-3700
178,Van Nuys Courthouse East,http://www.lacourt.org/courthouse/info/nw,(818) 901-4600
179,Van Nuys Courthouse West,http://www.lacourt.org/courthouse/info/lav,(818) 989-6900
180,West Covina Courthouse,http://www.lacourt.org/courthouse/info/cit,(626) 430-2600
181,Whittier Courthouse,http://www.lacourt.org/courthouse/info/wh,
182,Humboldt County Courthouse,https://www.humboldt.courts.ca.gov/gi/contact.htm,(707) 445-7256
183,Criminal Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
184,Civil & Family Law Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
185,Grover Beach Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
186,Veterans Memorial Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
187,Paso Robles Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
188,Airport Courthouse,http://www.lacourt.org/courthouse/info/lax,(310) 725-3000
189,Alfred J. McCourtney Juvenile Justice Center,http://www.lacourt.org/courthouse/info/lan,(661) 483-5924
190,Alhambra Courthouse,http://www.lacourt.org/courthouse/info/alh,(626) 293-2100
191,Bellflower Courthouse,http://www.lacourt.org/courthouse/info/lc,(562) 345-3300
192,Beverly Hills Courthouse,http://www.lacourt.org/courthouse/info/bh,(310) 281-2400
193,Burbank Courthouse,http://www.lacourt.org/courthouse/info/bur,(818) 260-8400
194,Catalina Courthouse,http://www.lacourt.org/courthouse/info/cat,(562) 256-3100
195,Central Arraignment Courthouse,http://www.lacourt.org/courthouse/info/cac,(213) 617-5699
196,Central Civil West Courthouse,http://www.lacourt.org/courthouse/info/ccw,(213) 351-7598
197,Chatsworth Courthouse,http://www.lacourt.org/courthouse/info/cha,(818) 407-2200
198,Clara Shortridge Foltz Criminal Justice Center,http://www.lacourt.org/courthouse/info/ccb,(213) 628-7900
199,Compton Courthouse,http://www.lacourt.org/courthouse/info/com,(310) 761-4300
200,Downey Courthouse,http://www.lacourt.org/courthouse/info/dow,(562) 658-0500
201,East Los Angeles Courthouse,http://www.lacourt.org/courthouse/info/ela,(323) 881-5800
202,Eastlake Juvenile Court,http://www.lacourt.org/courthouse/info/elj,(323) 227-4399
203,Edmund D. Edelman Children's Court,http://www.lacourt.org/courthouse/info/ccj,(323) 307-8000
204,El Monte Courthouse,http://www.lacourt.org/courthouse/info/elm,(626) 401-2200
205,Glendale Courthouse,http://www.lacourt.org/courthouse/info/gln,(818) 265-6400
206,Governor George Deukmejian Courthouse,http://www.lacourt.org/courthouse/info/lb,(562) 256-3100
207,Inglewood Courthouse,http://www.lacourt.org/courthouse/info/ing,(310) 419-1300
208,Inglewood Juvenile Courthouse,http://www.lacourt.org/courthouse/info/igj,(310) 412-8301
209,Los Padrinos Juvenile Courthouse,http://www.lacourt.org/courthouse/info/lpj,(562) 658-0700
210,Metropolitan Courthouse,http://www.lacourt.org/courthouse/info/met,(213) 745-3202
211,Michael Antonovich Antelope Valley Courthouse,http://www.lacourt.org/courthouse/info/atp,(661) 483-5500
212,Norwalk Courthouse,http://www.lacourt.org/courthouse/info/se,(562) 345-3700
213,Pasadena Courthouse,http://www.lacourt.org/courthouse/info/pas,(626) 396-3300
214,Pomona Courthouse South,http://www.lacourt.org/courthouse/info/ea,(909) 802-1100
215,San Fernando Courthouse,http://www.lacourt.org/courthouse/info/las,(818) 256-1800
216,Santa Clarita Courthouse,http://www.lacourt.org/courthouse/info/new,(661) 253-5600
217,Santa Monica Courthouse,http://www.lacourt.org/courthouse/info/sm,(310) 255-1840
218,Spring Street Courthouse,http://www.lacourt.org/courthouse/info/ss,(213) 310-7000
219,Stanley Mosk Courthouse,http://www.lacourt.org/courthouse/info/la,(213) 830-0803
220,Sylmar Juvenile Courthouse,http://www.lacourt.org/courthouse/info/slj,(818) 256-1180
221,Torrance Courthouse,http://www.lacourt.org/courthouse/info/sba,(310) 787-3700
222,Van Nuys Courthouse East,http://www.lacourt.org/courthouse/info/nw,(818) 901-4600
223,Van Nuys Courthouse West,http://www.lacourt.org/courthouse/info/lav,(818) 989-6900
224,West Covina Courthouse,http://www.lacourt.org/courthouse/info/cit,(626) 430-2600
225,Whittier Courthouse,http://www.lacourt.org/courthouse/info/wh,
226,Metro Division,https://www.kern.courts.ca.gov/general/metropolitan_division_contact_information,(661) 868-5393
227,Metro Justice Building,https://www.kern.courts.ca.gov/general/metropolitan_division_justice_building_contact_information,(661) 868-5393
228,Metro Traffic Division,https://www.kern.courts.ca.gov/general/metropolitan_traffic_division_contact_information,(661) 335-7100
229,Jury Services,https://www.kern.courts.ca.gov/general/jury_services_contact_information,(661) 868-4700
230,Juvenile Justice Center,https://www.kern.courts.ca.gov/general/juvenile_justice_center_contact_information,(661) 868-4270
231,Delano Branch,https://www.kern.courts.ca.gov/general/delano_contact_information,(661) 720-5800
232,Kern River Branch,https://www.kern.courts.ca.gov/general/kern_river_contact_information,(760) 549-2000
233,Lamont Branch,https://www.kern.courts.ca.gov/general/lamont_contact_information,(661) 868-5800
234,Mojave Branch,https://www.kern.courts.ca.gov/general/mojave_contact_information,(661) 824-7100
235,Ridgecrest Branch,https://www.kern.courts.ca.gov/general/ridgecrest_contact_information,(760) 384-5900
236,Shafter Branch,https://www.kern.courts.ca.gov/general/shafter_contact_information,(661) 746-7500
237,Taft Branch,https://www.kern.courts.ca.gov/general/taft_contact_information,(661) 868-5800
238,Criminal Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
239,Civil & Family Law Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
240,Grover Beach Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
241,Veterans Memorial Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
242,Paso Robles Branch,https://www.slo.courts.ca.gov/gi/contact-location.htm,(805) 706-3600
243,Southern Branch: Hall of Justice and Records,https://www.sanmateocourt.org/general_info/locations_and_contact_info/hoj.php,(650) 261-5100
244,Northern Branch,https://www.sanmateocourt.org/general_info/locations_and_contact_info/northern_branch.php,(650) 261-5100
245,Juvenile Branch,https://www.sanmateocourt.org/general_info/locations_and_contact_info/juvenile_branch.php,(650) 261-5100
246,New Merced Courthouse,https://www.mercedcourt.org/maps_directions.shtml,(209) 725-4100
247,Old Merced Courthouse,https://www.mercedcourt.org/maps_directions.shtml,(209) 725-4100
248,Traffic Division,https://www.mercedcourt.org/maps_directions.shtml,(209) 725-4107
249,The Robert M. Falasco Justice Center,https://www.mercedcourt.org/maps_directions.shtml,(209) 725-4124
250,Juvenile Division,https://www.mercedcourt.org/maps_directions.shtml,(209) 725-4119
251,Airport Courthouse,http://www.lacourt.org/courthouse/info/lax,(310) 725-3000
252,Alfred J. McCourtney Juvenile Justice Center,http://www.lacourt.org/courthouse/info/lan,(661) 483-5924
253,Alhambra Courthouse,http://www.lacourt.org/courthouse/info/alh,(626) 293-2100
254,Bellflower Courthouse,http://www.lacourt.org/courthouse/info/lc,(562) 345-3300
255,Beverly Hills Courthouse,http://www.lacourt.org/courthouse/info/bh,(310) 281-2400
256,Burbank Courthouse,http://www.lacourt.org/courthouse/info/bur,(818) 260-8400
257,Catalina Courthouse,http://www.lacourt.org/courthouse/info/cat,(562) 256-3100
258,Central Arraignment Courthouse,http://www.lacourt.org/courthouse/info/cac,(213) 617-5699
259,Central Civil West Courthouse,http://www.lacourt.org/courthouse/info/ccw,(213) 351-7598
260,Chatsworth Courthouse,http://www.lacourt.org/courthouse/info/cha,(818) 407-2200
261,Clara Shortridge Foltz Criminal Justice Center,http://www.lacourt.org/courthouse/info/ccb,(213) 628-7900
262,Compton Courthouse,http://www.lacourt.org/courthouse/info/com,(310) 761-4300
263,Downey Courthouse,http://www.lacourt.org/courthouse/info/dow,(562) 658-0500
264,East Los Angeles Courthouse,http://www.lacourt.org/courthouse/info/ela,(323) 881-5800
265,Eastlake Juvenile Court,http://www.lacourt.org/courthouse/info/elj,(323) 227-4399
266,Edmund D. Edelman Children's Court,http://www.lacourt.org/courthouse/info/ccj,(323) 307-8000
267,El Monte Courthouse,http://www.lacourt.org/courthouse/info/elm,(626) 401-2200
268,Glendale Courthouse,http://www.lacourt.org/courthouse/info/gln,(818) 265-6400
269,Governor George Deukmejian Courthouse,http://www.lacourt.org/courthouse/info/lb,(562) 256-3100
270,Inglewood Courthouse,http://www.lacourt.org/courthouse/info/ing,(310) 419-1300
271,Inglewood Juvenile Courthouse,http://www.lacourt.org/courthouse/info/igj,(310) 412-8301
272,Los Padrinos Juvenile Courthouse,http://www.lacourt.org/courthouse/info/lpj,(562) 658-0700
273,Metropolitan Courthouse,http://www.lacourt.org/courthouse/info/met,(213) 745-3202
274,Michael Antonovich Antelope Valley Courthouse,http://www.lacourt.org/courthouse/info/atp,(661) 483-5500
275,Norwalk Courthouse,http://www.lacourt.org/courthouse/info/se,(562) 345-3700
276,Pasadena Courthouse,http://www.lacourt.org/courthouse/info/pas,(626) 396-3300
277,Pomona Courthouse South,http://www.lacourt.org/courthouse/info/ea,(909) 802-1100
278,San Fernando Courthouse,http://www.lacourt.org/courthouse/info/las,(818) 256-1800
279,Santa Clarita Courthouse,http://www.lacourt.org/courthouse/info/new,(661) 253-5600
280,Santa Monica Courthouse,http://www.lacourt.org/courthouse/info/sm,(310) 255-1840
281,Spring Street Courthouse,http://www.lacourt.org/courthouse/info/ss,(213) 310-7000
282,Stanley Mosk Courthouse,http://www.lacourt.org/courthouse/info/la,(213) 830-0803
283,Sylmar Juvenile Courthouse,http://www.lacourt.org/courthouse/info/slj,(818) 256-1180
284,Torrance Courthouse,http://www.lacourt.org/courthouse/info/sba,(310) 787-3700
285,Van Nuys Courthouse East,http://www.lacourt.org/courthouse/info/nw,(818) 901-4600
286,Van Nuys Courthouse West,http://www.lacourt.org/courthouse/info/lav,(818) 989-6900
287,West Covina Courthouse,http://www.lacourt.org/courthouse/info/cit,(626) 430-2600
288,Whittier Courthouse,http://www.lacourt.org/courthouse/info/wh,
289,Kings County Superior Court,https://www.kings.courts.ca.gov/generalinfo/contact-location.htm,(559) 582-1010
290,Airport Courthouse,http://www.lacourt.org/courthouse/info/lax,(310) 725-3000
291,Alfred J. McCourtney Juvenile Justice Center,http://www.lacourt.org/courthouse/info/lan,(661) 483-5924
292,Alhambra Courthouse,http://www.lacourt.org/courthouse/info/alh,(626) 293-2100
293,Bellflower Courthouse,http://www.lacourt.org/courthouse/info/lc,(562) 345-3300
294,Beverly Hills Courthouse,http://www.lacourt.org/courthouse/info/bh,(310) 281-2400
295,Burbank Courthouse,http://www.lacourt.org/courthouse/info/bur,(818) 260-8400
296,Catalina Courthouse,http://www.lacourt.org/courthouse/info/cat,(562) 256-3100
297,Central Arraignment Courthouse,http://www.lacourt.org/courthouse/info/cac,(213) 617-5699
298,Central Civil West Courthouse,http://www.lacourt.org/courthouse/info/ccw,(213) 351-7598
299,Chatsworth Courthouse,http://www.lacourt.org/courthouse/info/cha,(818) 407-2200
300,Clara Shortridge Foltz Criminal Justice Center,http://www.lacourt.org/courthouse/info/ccb,(213) 628-7900
301,Compton Courthouse,http://www.lacourt.org/courthouse/info/com,(310) 761-4300
302,Downey Courthouse,http://www.lacourt.org/courthouse/info/dow,(562) 658-0500
303,East Los Angeles Courthouse,http://www.lacourt.org/courthouse/info/ela,(323) 881-5800
